ts,dt,open,high,low,close,base_volume,quote_volume,ema20,ema21,ema50,ema100,ema200,rsi14,atr14,plus_di14,minus_di14,adx14
1775750400000,2026-04-09T16:00:00+00:00,317.62,319.54,317.62,318.59,2356.52,750798.1304,311.1542025795275,310.7574596487972,302.45911469606773,296.3719045114748,292.8751624462796,80.85625397909597,3.077485417567343,35.51540407590673,16.202084638754062,50.17395361863795
1775764800000,2026-04-09T20:00:00+00:00,318.59,318.83,317.34,318.32,514.74,163695.2434,311.83665947671534,311.4449633170883,303.0811101981827,296.8065202637228,293.1283449095007,79.53486986312598,2.964093602026819,34.24019005536345,16.295076060328718,49.126534154893996
1775779200000,2026-04-10T00:00:00+00:00,318.32,319.6,317.87,318.94,540.3,172410.2251,312.51316809798055,312.12633028826207,303.70302744531284,297.24480699117385,293.3851772984609,80.32981387659835,2.875944059024905,34.681398498316256,15.594921333349207,48.32914992087465
1775793600000,2026-04-10T04:00:00+00:00,318.94,319.04,317.41,317.71,133.0,42306.2893,313.00810446960145,312.6339366256928,304.2523204866731,297.6500583378833,293.6272153352922,74.17417855256411,2.78694805480884,33.232535583438235,16.122387164940452,47.3533222085722
1775808000000,2026-04-10T08:00:00+00:00,317.71,319.66,317.59,318.86,809.03,257777.2682,313.5654278534489,313.1999423869934,304.8251706636663,298.0700571826777,293.87828781951816,76.02408088339546,2.7357374794653553,33.05521727847099,15.251027935431816,46.603578482371184
1775822400000,2026-04-10T12:00:00+00:00,318.86,321.8,317.29,317.29,4691.48,1500537.5204,313.92014901026334,313.5717658063577,305.3139875003853,298.4506501097534,294.11124017952295,68.78060312895568,2.8624705166464004,34.67522074092847,13.534674986147474,46.40696934573719
1775836800000,2026-04-10T16:00:00+00:00,317.29,317.92,316.45,317.49,727.77,230917.2597,314.26013481880966,313.92796891487063,305.79147818664467,298.82766693926317,294.3438646553486,69.18340879994838,2.763008336885945,33.357491029732216,15.191875605243446,45.76481380535257
1775851200000,2026-04-10T20:00:00+00:00,317.49,317.96,316.72,317.61,572.4,181565.7857,314.57916959797063,314.2626990135187,306.25494963030565,299.1995943266045,294.57536848962377,69.43820087644026,2.654222027108374,32.3519962666376,14.684922490058238,45.17875675329826
1775865600000,2026-04-11T00:00:00+00:00,317.61,317.83,316.2,316.5,542.19,171720.8402,314.76210582673536,314.4660900122897,306.6567163114702,299.5421766171668,294.79352402704046,64.15431297300898,2.5810633108863468,30.892637756406565,15.461556352069492,44.32952442956042
1775880000000,2026-04-11T04:00:00+00:00,316.5,317.53,316.5,317.42,512.26,162438.8889,315.0152386051415,314.7346272838998,307.0788058678831,299.8961929217773,295.018663091448,66.43414269685138,2.4702730743944628,29.972571260261986,15.001069290719723,43.54095155751815
1775894400000,2026-04-11T08:00:00+00:00,317.42,317.51,317.07,317.29,88.83,28188.1689,315.23188254750903,314.96693389445437,307.4792448534563,300.24062474510845,295.24026843382165,65.79732670604136,2.3252535690805725,29.567456261503565,14.798311972559903,42.80870531919317
1775908800000,2026-04-11T12:00:00+00:00,317.29,317.42,316.92,317.04,356.8,113175.2217,315.40408420965105,315.15539444950394,307.85417642783057,300.57328564124487,295.4571811857239,64.51654514117544,2.1948783141462456,29.086345042734823,15.045668477953436,42.02345302925853
1775923200000,2026-04-11T16:00:00+00:00,317.04,318.48,316.92,317.68,375.06,119221.9974,315.6208380944462,315.38490404500357,308.23950284242545,300.91203246023014,295.67830376099033,66.323780832388,2.1495298631358,31.100915191074535,14.265722419311345,41.67243440272983
1775937600000,2026-04-11T20:00:00+00:00,317.68,317.85,317.17,317.47,239.53,76038.3545,315.796948752118,315.5744582227305,308.60148312311463,301.23991300557213,295.89513655938845,65.15121981431655,2.044563444340386,30.362069994125072,13.926820479424142,41.34648853523889
1775952000000,2026-04-12T00:00:00+00:00,317.47,317.84,315.93,316.14,1089.17,344479.7108,315.82962029953535,315.6258711115732,308.89711123593366,301.53496423318455,296.09657798665825,58.140509254178404,2.0349517697446418,28.326516180762457,17.34563695361801,40.11051309631534
1775966400000,2026-04-12T04:00:00+00:00,316.14,316.3,315.8,315.96,367.88,116257.0834,315.84203741386534,315.65624646506654,309.17408726589707,301.8206085057948,296.2942239768407,57.24273853617592,1.9253123576200246,27.80106310912651,17.506174226071654,38.86850457449577
1775980800000,2026-04-12T08:00:00+00:00,315.96,315.96,314.83,315.25,299.74,94502.7737,315.7856528982591,315.61931496824235,309.412358353509,302.0865370502345,296.48283866363835,53.719141810644146,1.8685043320757369,26.60013308588268,20.458039515137973,37.0244777747365
1775995200000,2026-04-12T12:00:00+00:00,315.25,315.36,313.23,313.48,451.25,141682.6299,315.56606690794877,315.4248317893112,309.57187371219493,302.3121501779526,296.65196464708475,46.100598213813235,1.8871825940703266,24.455655778396654,24.864622572509436,34.439101231970575
1776009600000,2026-04-12T16:00:00+00:00,313.48,313.69,312.39,313.12,472.9,148026.8053,315.3331081548108,315.2153016266465,309.7110159195598,302.52616700611196,296.8158256953725,44.71167651312903,1.845240980208161,23.22498599237037,26.864980373624043,32.498230658761436
